School_Clip,base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Teacher provides learning activity - 3rd Snapshot,Students are on task - 3rd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Positive Behavioral Expectations,The teacher sets clear behavioral expectations,The teacher acknowledges positive student behavior,The teacher redirects misbehavior,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills
351775 Clip 2,351775,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,H,N,H,N,M,3,H,L,H,M,1,L,L,H,1,L,H,L,L,1,M,L,L,L,L,1,L,L,M,1,L,L,L,2,L,L,L,1,L,L,L
357848 Clip 2,357848,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,L,Y,M,4,H,M,H,M,3,M,M,H,3,M,M,M,M,4,M,M,M,M,M,3,M,M,M,3,M,M,M,3,H,M,H,1,M,M,L
512160 Clip 2,512160,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,H,M,H,M,3,M,L,L,3,M,M,M,M,3,M,L,M,M,M,3,L,M,M,3,L,L,L,2,M,M,H,3,M,M,M
746602 Clip 2,746602,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,M,3,M,M,H,M,3,M,M,M,3,M,M,L,M,3,L,L,M,M,M,2,L,L,M,3,L,L,L,2,M,M,M,1,M,M,L
838565 Clip 2,838565,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,H,4,H,M,H,M,3,L,M,L,3,M,M,M,M,3,M,M,M,M,M,3,L,M,M,3,M,L,L,3,L,L,M,1,L,L,L
208751 Clip 2,208751,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,H,4,M,M,M,M,3,H,M,H,3,M,M,M,L,3,M,M,H,M,M,2,M,M,M,3,M,L,H,3,M,M,M,3,M,M,M
1164664 Clip 1,1164664,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,M,M,M,3,M,M,M,3,L,M,M,L,3,M,M,H,M,L,2,M,M,M,3,L,L,H,3,M,M,M,1,L,M,M
1164664 Clip 2,1164664,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,H,4,H,M,M,M,3,L,M,M,3,L,L,M,L,3,M,M,H,M,M,2,M,L,M,3,L,L,H,1,M,M,M,1,M,M,L
1166503 Clip 1,1166503,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,N,H,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,L,M,M,2,M,M,M,3,M,M,L,3,H,M,M,3,M,M,M
758128 Clip 1,758128,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,H,4,H,M,M,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,2,M,M,M,3,M,M,M,3,M,M,M,1,M,L,M
263442 Clip 1,263442,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,H,M,H,M,4,H,M,H,3,H,M,M,M,4,M,M,H,M,M,3,M,M,M,3,M,H,H,3,M,M,M,1,M,M,M
758128 Clip 2,758128,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,L,Y,L,Y,L,4,M,M,M,M,3,M,L,M,3,M,M,L,L,3,M,M,L,M,M,1,L,L,M,3,L,L,M,1,M,M,M,1,L,M,L
263673 Clip 2,263673,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,M,3,M,L,H,M,1,L,L,L,3,L,M,L,L,2,L,L,L,L,L,1,L,L,M,1,L,L,L,2,L,L,M,1,L,L,L
263772 Clip 1,263772,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,H,M,H,M,4,M,M,M,3,M,M,M,M,3,M,M,H,M,M,3,M,L,M,3,M,L,H,3,M,M,M,3,M,M,M
515650 Clip 2,515650,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,M,H,M,2,L,M,M,3,L,M,M,L,3,L,L,L,M,M,2,L,L,M,3,M,M,H,3,M,M,M,1,L,L,M
455840 Clip 2,455840,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,M,4,H,M,H,M,3,M,M,M,3,L,M,M,M,3,L,L,L,M,M,2,M,M,M,2,M,L,H,3,M,M,M,1,M,M,M
515650 Clip 1,515650,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,M,M,H,M,3,H,M,M,3,M,M,H,M,3,M,L,H,M,L,1,M,M,M,3,M,L,M,3,H,M,M,3,M,M,H
860783 Clip 2,860783,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,M,4,H,M,H,M,3,L,M,M,3,M,M,M,L,3,M,M,L,M,M,2,M,M,M,3,L,L,L,1,M,M,H,1,L,L,L
661033 Clip 2,661033,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,1,L,L,L,L,3,M,L,M,3,L,L,M,L,3,L,L,L,M,L,1,L,L,M,1,L,L,L,1,L,M,L,1,L,L,L
661033 Clip 1,661033,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,H,M,5,M,M,H,3,M,M,H,L,3,M,M,L,H,H,3,M,M,M,3,M,H,L,3,M,M,H,3,M,M,M
